Timestamp,FrameTime(ms),InferenceTime(ms),TotalTime(ms),FPS,Flood_Lat,Flood_Lon
1970-01-01 08:03:23,22.28,12.56,22.55,46.65,0.00000,0.00000
1970-01-01 08:03:23,21.65,12.51,21.94,46.72,0.00000,0.00000
1970-01-01 08:03:23,21.42,10.85,21.69,46.58,0.00000,0.00000
1970-01-01 08:03:23,22.60,12.64,22.88,46.51,0.00000,0.00000
1970-01-01 08:03:23,21.51,12.54,21.77,46.50,0.00000,0.00000
1970-01-01 08:03:23,20.61,11.77,20.91,46.54,0.00000,0.00000
1970-01-01 08:03:23,21.67,12.45,21.94,46.56,0.00000,0.00000
1970-01-01 08:03:23,22.34,12.52,22.63,46.58,0.00000,0.00000
1970-01-01 08:03:23,22.28,13.07,22.58,46.43,0.00000,0.00000
1970-01-01 08:03:23,23.10,13.09,23.37,46.39,0.00000,0.00000
1970-01-01 08:03:23,26.11,17.55,26.35,46.10,0.00000,0.00000
1970-01-01 08:03:23,26.13,17.52,26.65,45.76,0.00000,0.00000
1970-01-01 08:03:23,26.62,18.59,26.92,45.46,0.00000,0.00000
1970-01-01 08:03:23,24.93,17.10,25.22,45.25,0.00000,0.00000
1970-01-01 08:03:23,24.66,17.71,24.97,44.94,0.00000,0.00000
1970-01-01 08:03:23,26.35,18.41,26.64,44.67,0.00000,0.00000
1970-01-01 08:03:23,24.35,17.43,24.60,44.50,0.00000,0.00000
1970-01-01 08:03:23,25.68,17.10,26.09,44.16,0.00000,0.00000
1970-01-01 08:03:23,25.03,18.33,25.30,43.96,0.00000,0.00000
1970-01-01 08:03:23,25.75,18.00,26.05,43.68,0.00000,0.00000
1970-01-01 08:03:24,24.98,17.64,25.20,43.42,0.00000,0.00000
1970-01-01 08:03:24,21.95,12.50,22.24,43.44,0.00000,0.00000
1970-01-01 08:03:24,21.71,12.52,21.99,43.50,0.00000,0.00000
1970-01-01 08:03:24,22.19,12.46,22.46,43.40,0.00000,0.00000
1970-01-01 08:03:24,21.17,12.51,21.44,43.42,0.00000,0.00000
1970-01-01 08:03:24,22.74,12.49,23.02,43.40,0.00000,0.00000
1970-01-01 08:03:24,21.26,12.59,21.54,43.40,0.00000,0.00000
1970-01-01 08:03:24,21.37,12.51,21.65,43.46,0.00000,0.00000
1970-01-01 08:03:24,21.22,12.55,21.49,43.46,0.00000,0.00000
1970-01-01 08:03:24,22.64,13.05,22.91,43.36,0.00000,0.00000
1970-01-01 08:03:24,21.88,12.51,22.15,43.38,0.00000,0.00000
1970-01-01 08:03:24,23.05,12.29,23.33,43.29,0.00000,0.00000
1970-01-01 08:03:24,21.89,12.59,22.17,43.26,0.00000,0.00000
1970-01-01 08:03:24,22.43,12.57,22.70,43.27,0.00000,0.00000
1970-01-01 08:03:24,20.23,11.35,20.49,43.37,0.00000,0.00000
1970-01-01 08:03:24,22.03,11.68,22.28,43.26,0.00000,0.00000
1970-01-01 08:03:24,21.21,12.48,21.49,43.30,0.00000,0.00000
1970-01-01 08:03:24,20.36,11.50,20.64,43.44,0.00000,0.00000
1970-01-01 08:03:24,20.95,12.25,21.22,43.54,0.00000,0.00000
1970-01-01 08:03:24,22.85,13.06,23.12,43.55,0.00000,0.00000
1970-01-01 08:03:24,20.86,11.46,21.13,43.87,0.00000,0.00000
1970-01-01 08:03:24,21.88,12.50,22.15,44.12,0.00000,0.00000
1970-01-01 08:03:24,21.62,12.54,21.90,44.41,0.00000,0.00000
1970-01-01 08:03:24,21.39,11.75,21.66,44.63,0.00000,0.00000
1970-01-01 08:03:24,21.12,12.48,21.38,44.86,0.00000,0.00000
1970-01-01 08:03:24,22.62,12.42,22.88,45.07,0.00000,0.00000
1970-01-01 08:03:24,19.91,11.27,20.19,45.37,0.00000,0.00000
1970-01-01 08:03:24,21.67,12.51,21.94,45.61,0.00000,0.00000
1970-01-01 08:03:24,21.28,12.49,21.55,45.85,0.00000,0.00000
1970-01-01 08:03:24,22.06,12.26,22.33,46.06,0.00000,0.00000
1970-01-01 08:03:25,22.41,12.60,22.68,46.22,0.00000,0.00000
1970-01-01 08:03:25,22.17,12.53,22.44,46.20,0.00000,0.00000
1970-01-01 08:03:25,21.85,12.50,22.11,46.19,0.00000,0.00000
1970-01-01 08:03:25,22.34,12.52,22.61,46.18,0.00000,0.00000
1970-01-01 08:03:25,21.48,12.58,21.75,46.16,0.00000,0.00000
1970-01-01 08:03:25,21.25,10.78,21.53,46.26,0.00000,0.00000
1970-01-01 08:03:25,21.44,12.57,21.72,46.25,0.00000,0.00000
1970-01-01 08:03:25,21.67,12.59,21.95,46.23,0.00000,0.00000
1970-01-01 08:03:25,21.31,12.52,21.59,46.22,0.00000,0.00000
1970-01-01 08:03:25,22.77,13.01,23.02,46.21,0.00000,0.00000
1970-01-01 08:03:25,22.42,12.54,22.70,46.17,0.00000,0.00000
1970-01-01 08:03:25,21.94,12.51,22.22,46.25,0.00000,0.00000
1970-01-01 08:03:25,21.66,12.39,21.94,46.26,0.00000,0.00000
1970-01-01 08:03:25,22.51,12.56,22.79,46.26,0.00000,0.00000
1970-01-01 08:03:25,21.46,12.58,21.74,46.16,0.00000,0.00000
1970-01-01 08:03:25,22.95,12.51,23.23,46.10,0.00000,0.00000
1970-01-01 08:03:25,21.74,12.67,22.02,46.06,0.00000,0.00000
1970-01-01 08:03:25,21.39,12.49,21.67,45.99,0.00000,0.00000
1970-01-01 08:03:25,21.38,12.50,21.64,45.95,0.00000,0.00000
1970-01-01 08:03:25,22.87,13.09,23.15,45.95,0.00000,0.00000
1970-01-01 08:03:25,21.93,12.53,22.20,45.87,0.00000,0.00000
1970-01-01 08:03:25,21.92,12.52,22.20,45.87,0.00000,0.00000
1970-01-01 08:03:25,21.84,12.61,22.12,45.86,0.00000,0.00000
1970-01-01 08:03:25,22.27,12.56,22.55,45.79,0.00000,0.00000
1970-01-01 08:03:25,21.37,12.53,21.65,45.78,0.00000,0.00000
1970-01-01 08:03:25,22.80,12.44,23.07,45.76,0.00000,0.00000
1970-01-01 08:03:25,21.10,12.47,21.37,45.67,0.00000,0.00000
1970-01-01 08:03:25,21.58,12.49,21.85,45.68,0.00000,0.00000
1970-01-01 08:03:25,21.36,12.52,21.61,45.67,0.00000,0.00000
1970-01-01 08:03:25,22.86,13.09,23.11,45.62,0.00000,0.00000
1970-01-01 08:03:26,21.97,12.49,22.24,45.65,0.00000,0.00000
1970-01-01 08:03:26,21.96,12.50,22.23,45.66,0.00000,0.00000
1970-01-01 08:03:26,21.71,12.54,21.97,45.67,0.00000,0.00000
1970-01-01 08:03:26,22.23,12.48,22.51,45.68,0.00000,0.00000
1970-01-01 08:03:26,21.44,12.55,21.71,45.68,0.00000,0.00000
1970-01-01 08:03:26,21.85,11.60,22.12,45.64,0.00000,0.00000
1970-01-01 08:03:26,21.24,12.62,21.51,45.65,0.00000,0.00000
1970-01-01 08:03:26,21.52,12.52,21.80,45.66,0.00000,0.00000
1970-01-01 08:03:26,21.25,12.53,21.53,45.67,0.00000,0.00000
1970-01-01 08:03:26,22.73,13.08,23.00,45.67,0.00000,0.00000
1970-01-01 08:03:26,21.99,12.50,22.25,45.70,0.00000,0.00000
1970-01-01 08:03:26,21.93,12.51,22.21,45.70,0.00000,0.00000
1970-01-01 08:03:26,22.09,12.56,22.37,45.67,0.00000,0.00000
1970-01-01 08:03:26,22.35,12.51,22.63,45.68,0.00000,0.00000
1970-01-01 08:03:26,21.25,12.49,21.53,45.70,0.00000,0.00000
1970-01-01 08:03:26,22.85,12.47,23.13,45.70,0.00000,0.00000
1970-01-01 08:03:26,21.18,12.54,21.45,45.74,0.00000,0.00000
1970-01-01 08:03:26,21.36,12.52,21.63,45.75,0.00000,0.00000
1970-01-01 08:03:26,21.21,12.57,21.48,45.76,0.00000,0.00000
1970-01-01 08:03:26,22.80,13.22,23.07,45.76,0.00000,0.00000
1970-01-01 08:03:26,21.92,12.51,22.18,45.76,0.00000,0.00000
1970-01-01 08:03:26,22.00,12.56,22.28,45.76,0.00000,0.00000
1970-01-01 08:03:26,21.75,12.57,22.04,45.76,0.00000,0.00000
1970-01-01 08:03:26,22.22,12.56,22.48,45.77,0.00000,0.00000
1970-01-01 08:03:26,21.25,12.56,21.53,45.78,0.00000,0.00000
1970-01-01 08:03:26,21.25,11.01,21.52,45.88,0.00000,0.00000
1970-01-01 08:03:26,21.20,12.54,21.47,45.88,0.00000,0.00000
1970-01-01 08:03:26,21.45,12.57,21.72,45.89,0.00000,0.00000
1970-01-01 08:03:26,21.29,12.46,21.57,45.89,0.00000,0.00000
1970-01-01 08:03:26,22.88,13.09,23.15,45.89,0.00000,0.00000
1970-01-01 08:03:27,22.18,12.57,22.45,45.88,0.00000,0.00000
1970-01-01 08:03:27,21.96,12.50,22.24,45.88,0.00000,0.00000
1970-01-01 08:03:27,21.65,12.51,21.91,45.88,0.00000,0.00000
1970-01-01 08:03:27,22.21,12.53,22.49,45.88,0.00000,0.00000
1970-01-01 08:03:27,21.20,12.51,21.47,45.90,0.00000,0.00000
1970-01-01 08:03:27,22.70,12.49,22.97,45.84,0.00000,0.00000
1970-01-01 08:03:27,21.32,12.50,21.59,45.84,0.00000,0.00000
1970-01-01 08:03:27,21.44,12.52,21.71,45.84,0.00000,0.00000
1970-01-01 08:03:27,21.27,12.57,21.55,45.84,0.00000,0.00000
1970-01-01 08:03:27,22.65,13.08,22.92,45.85,0.00000,0.00000
1970-01-01 08:03:27,22.02,12.56,22.29,45.84,0.00000,0.00000
1970-01-01 08:03:27,21.98,12.51,22.26,45.84,0.00000,0.00000
1970-01-01 08:03:27,21.66,12.55,21.94,45.87,0.00000,0.00000
1970-01-01 08:03:27,22.40,12.53,22.67,45.87,0.00000,0.00000
1970-01-01 08:03:27,22.01,12.46,22.29,45.81,0.00000,0.00000
1970-01-01 08:03:27,23.03,12.56,23.29,45.80,0.00000,0.00000
1970-01-01 08:03:27,21.44,12.51,21.70,45.78,0.00000,0.00000
1970-01-01 08:03:27,21.61,12.49,21.87,45.76,0.00000,0.00000
1970-01-01 08:03:27,21.32,12.48,21.59,45.76,0.00000,0.00000
1970-01-01 08:03:27,22.86,13.08,23.20,45.75,0.00000,0.00000
