Frame,ImageProcessing_ms,AIInference_ms,GPSConversion_ms,Total_ms
1,10.04791259765625,307.0945739746094,4.7607421875,321.9032287597656
2,6.4640045166015625,469.71678733825684,3.903627395629883,480.0844192504883
3,18.468618392944336,321.7899799346924,3.921031951904297,344.179630279541
4,6.110429763793945,300.769567489624,4.014492034912109,310.8944892883301
5,7.557868957519531,388.57531547546387,4.187345504760742,400.32052993774414
6,7.659196853637695,327.97789573669434,3.9119720458984375,339.54906463623047
7,7.610082626342773,330.2927017211914,3.9021968841552734,341.80498123168945
8,8.621931076049805,326.67016983032227,3.9048194885253906,339.19692039489746
9,7.668972015380859,348.56367111206055,3.9665699005126953,360.1992130279541
10,7.453680038452148,375.368595123291,3.9713382720947266,386.7936134338379
11,9.890079498291016,369.488000869751,3.9730072021484375,383.35108757019043
12,10.89787483215332,369.7381019592285,3.9877891540527344,384.62376594543457
13,10.5743408203125,363.36421966552734,3.980398178100586,377.91895866394043
14,10.898590087890625,360.1958751678467,3.9072036743164062,375.0016689300537
15,6.984710693359375,333.4083557128906,3.992795944213867,344.38586235046387
16,11.213302612304688,362.0758056640625,3.9713382720947266,377.2604465484619
17,10.875940322875977,361.42706871032715,3.9522647857666016,376.2552738189697
18,10.993003845214844,366.03498458862305,3.97491455078125,381.00290298461914
19,11.178970336914062,360.1231575012207,3.9739608764648438,375.2760887145996
20,10.876893997192383,338.7598991394043,4.809856414794922,354.4466495513916
21,8.359909057617188,339.4052982330322,3.9463043212890625,351.7115116119385
22,9.850740432739258,357.5325012207031,3.9124488830566406,371.295690536499
23,8.983850479125977,360.5766296386719,3.919363021850586,373.47984313964844
24,9.056806564331055,354.8693656921387,3.9243698120117188,367.85054206848145
25,10.127067565917969,361.99426651000977,3.8900375366210938,376.0113716125488
26,11.145830154418945,355.09777069091797,3.9343833923339844,370.1779842376709
27,9.849071502685547,354.87842559814453,3.9131641387939453,368.640661239624
28,8.37254524230957,350.57854652404785,3.928661346435547,362.87975311279297
29,8.514642715454102,352.3869514465332,3.931760787963867,364.8333549499512
30,11.13128662109375,356.25457763671875,5.681514739990234,373.06737899780273
31,10.942220687866211,333.48822593688965,4.581928253173828,349.0123748779297
32,9.888887405395508,370.08094787597656,4.565954208374023,384.5357894897461
33,11.368036270141602,367.6917552947998,4.526376724243164,383.58616828918457
34,11.215925216674805,339.8277759552002,3.9243698120117188,354.9680709838867
35,6.8511962890625,301.6970157623291,3.8793087005615234,312.4275207519531
36,8.226633071899414,292.4478054046631,3.92913818359375,304.60357666015625
37,7.091760635375977,320.4476833343506,3.9196014404296875,331.45904541015625
38,6.945133209228516,287.4436378479004,3.9081573486328125,298.2969284057617
39,6.975889205932617,292.557954788208,4.012346267700195,303.5461902618408
40,6.927490234375,292.036771774292,10.644674301147461,309.60893630981445
