Waypoint_Timestamp_ns,Waypoint_Received_Latency_ms
1761115001047683461,2.12
1761115001324409001,1.94
1761115001653024275,1.42
1761115002010541969,3.51
1761115002315439439,2.47
1761115002606549082,9.19
1761115002872209210,5.81
1761115003130720869,1.47
1761115003561443424,5.68
1761115003938821815,3.21
1761115004311107197,3.26
1761115004843896009,7.71
1761115005931941013,1.42
1761115006524828674,9.11
1761115006826296986,1.79
1761115007110965723,1.28
1761115007432402036,1.82
1761115007811862405,1.36
1761115008212428224,1.44
1761115008594021434,2.19
1761115009052082133,4.03
1761115009374197982,2.65
1761115009665233549,1.50
1761115009932054825,2.01
1761115010178463512,1.39
1761115010432826258,1.31
1761115010671503637,1.12
1761115010858194105,1.43
1761115011119539404,2.00
1761115011398656328,1.59
1761115011649176359,1.22
1761115011863498473,4.17
1761115012350064200,9.50
1761115012743485938,1.43
1761115013055944907,1.22
1761115013723500879,5.65
1761115014260924418,5.31
1761115014730811666,3.56
1761115015268441242,1.60
1761115016077274388,11.29
1761115016803844819,3.44
1761115017615122902,7.34
1761115018384476758,2.43
1761115018898956291,1.59
1761115019792478391,6.00
1761115020492129239,3.09
1761115020971316278,3.21
1761115021632481171,3.33
1761115022006268226,2.18
1761115022482109315,1.41
1761115022737316381,1.31
1761115023015815511,5.19
1761115023293646581,4.99
1761115023571556246,3.99
1761115023829667949,1.32
1761115024095747340,3.86
1761115024432935427,10.34
1761115024824181058,6.40
1761115025315373002,10.35
1761115025773107451,6.14
1761115026515548439,28.45
1761115026946763361,5.59
1761115027343496326,1.98
1761115027633575447,2.57
1761115028012904930,9.47
1761115028509217131,1.18
1761115028907210730,3.14
1761115029337688339,1.63
1761115029640662444,2.15
1761115029889904198,1.15
1761115030231970453,2.10
1761115030546988561,1.07
1761115030828933606,3.03
1761115031094083832,1.31
1761115031356972705,3.52
1761115031658306048,1.27
1761115031938796836,2.05
1761115032202935740,4.35
1761115032473780979,2.86
1761115032808328177,19.15
1761115033199540011,1.24
1761115033545637787,1.43
1761115033824631751,2.18
1761115034109187179,1.21
1761115034402597566,4.30
1761115034713768846,4.69
1761115035070631508,1.63
1761115035377537322,2.54
1761115035704587960,2.69
1761115035995197112,1.08
1761115036365922428,1.22
1761115036676154693,1.63
1761115036912417808,7.30
1761115037176193438,3.88
1761115037439612712,4.40
1761115037710310332,6.28
1761115037965909917,1.27
1761115038251959413,1.26
1761115038480594712,2.11
1761115038733176296,2.55
1761115038991325110,1.37
1761115039228459882,1.80
1761115039479296824,1.21
1761115039726087630,5.09
1761115039976412562,1.91
1761115040243385538,3.54
1761115040471342807,1.54
1761115040712334255,1.39
1761115040945959741,1.14
1761115041145345963,2.99
1761115041409834882,2.02
1761115041703887449,2.24
1761115041960406455,1.30
1761115042278216114,1.67
1761115042541614374,2.58
1761115042807152403,0.99
1761115043049451516,1.92
1761115043270005001,3.91
1761115043486089065,3.80
1761115043746067841,1.79
1761115044000162856,6.56
1761115044260717747,1.50
1761115044522184953,4.03
1761115044814187879,2.05
1761115045080168407,1.16
1761115045329672942,2.24
1761115045606163921,8.85
1761115045886704963,1.36
1761115046136812093,3.51
1761115046404282179,3.90
1761115046630923450,2.16
1761115046867001464,1.67
1761115047107532126,1.30
1761115047331833840,1.08
1761115047585776856,1.38
1761115048098326104,1.51
1761115048385674615,1.19
1761115048688428413,3.87
1761115049037994236,1.13
1761115049321184631,10.15
1761115049623826446,2.23
1761115049908009392,1.17
1761115050161646562,6.74
1761115050428621313,1.52
1761115050681467715,1.53
1761115051248918165,2.15
1761115051536616407,1.97
1761115051987584973,3.27
1761115052426771235,3.08
1761115052772521349,1.33
1761115052989105929,1.67
1761115053239440636,1.14
1761115053528252410,3.96
1761115053802177635,1.59
1761115054078924817,1.46
1761115054522799158,8.19
1761115054885882223,3.64
1761115055123146220,1.45
1761115055390161984,1.76
1761115055641344976,2.55
1761115055911715626,2.64
1761115056195274762,1.33
1761115056448970092,1.35
1761115056688316932,1.19
1761115056930609688,7.02
1761115057339872812,1.78
1761115057737621222,2.90
1761115058037344874,4.90
1761115058279052969,3.00
1761115058542906560,1.11
1761115058868369033,2.04
1761115059190404631,1.96
1761115059503450415,1.42
1761115059719361829,1.94
1761115059927870356,3.08
1761115060225702016,1.77
1761115060551113611,1.92
1761115060845540378,2.62
1761115061096335008,2.21
1761115061387290119,2.49
1761115061708878896,5.04
1761115062020103345,11.25
1761115062505670322,2.99
1761115063024211248,3.60
1761115063452385331,1.18
1761115063688132056,2.26
1761115063930188670,1.02
1761115064173030493,2.02
1761115064422153866,1.29
1761115064696169815,5.93
1761115064956725218,3.81
1761115065308398411,1.72
1761115065636166874,1.33
1761115065976107875,4.37
1761115066389082158,12.21
1761115066687124868,0.69
1761115066943532480,9.62
1761115067209496248,6.82
1761115067480571958,9.71
1761115067890275698,4.88
1761115068224782329,7.26
1761115068588902508,5.33
1761115068959380701,2.53
1761115069584675301,1.16
1761115070246144937,1.41
1761115070871621480,17.12
1761115071128300247,1.12
1761115071370407020,2.03
1761115071619676842,1.06
1761115071873319383,0.84
1761115072151350776,0.90
1761115072464035380,2.94
1761115072816116965,9.94
1761115073082898146,1.35
1761115073348801835,1.18
1761115073712376486,11.47
1761115074222194375,1.46
1761115074708236144,3.24
1761115075078898182,6.45
1761115075339635934,4.53
1761115075647378327,1.37
1761115075922860328,2.49
1761115076201726559,2.18
1761115076517468450,1.94
1761115076823355287,1.60
1761115077040352442,2.47
1761115077334210034,12.94
1761115077788830964,1.27
1761115078077036011,1.07
1761115078530634751,7.21
1761115078778874864,1.40
1761115079023582210,1.42
1761115079320416729,1.33
1761115079545769031,8.59
1761115079830842082,9.46
1761115080108648368,9.65
1761115080378682638,2.13
1761115080617670455,1.13
1761115080860960452,2.32
1761115081111756948,1.02
1761115081357858752,2.17
1761115081591073657,1.26
1761115081825542530,1.81
1761115082078410935,1.21
1761115082351161331,3.40
1761115082620280227,6.08
1761115082887880757,3.49
1761115083166091624,4.58
1761115083463235680,2.54
1761115083721250122,3.13
1761115083977910901,1.07
1761115084208652709,4.88
1761115084449961661,2.11
1761115084657324046,2.25
1761115084870882311,1.28
1761115085108537988,1.68
1761115085341186400,3.70
1761115085624487094,1.91
1761115085892190516,2.05
1761115086168151297,1.18
1761115086447354609,1.28
1761115086730374126,1.05
1761115086995110874,2.96
1761115087250287143,11.92
1761115087446413048,1.25
1761115087642782188,1.80
1761115087847493815,1.54
1761115088107310369,1.57
1761115088378844526,2.60
1761115088639552921,2.50
1761115088938968541,3.73
1761115089265352436,3.42
1761115089585478381,1.72
1761115089899202492,1.10
1761115090417154960,1.16
1761115090624606914,3.30
1761115090861443783,3.08
1761115091262242921,4.02
1761115091515126019,1.42
1761115091758906767,1.20
1761115092102067783,5.80
1761115092459614021,1.26
1761115092691372636,4.08
1761115092974571717,3.02
1761115093300713978,1.40
1761115093630011516,1.35
1761115093908077405,3.04
1761115094163225597,2.36
1761115094397351517,1.85
1761115094583418275,1.30
1761115094777353599,2.46
1761115095017828473,1.27
1761115095305003284,2.14
1761115095607179929,3.02
1761115095941557877,13.24
1761115096216628427,1.55
1761115096537112504,0.80
1761115096816123541,6.08
1761115097189817159,2.31
1761115097546938408,1.47
1761115098032991715,4.16
1761115098489545991,1.06
1761115099039547647,4.00
