waypoint_id,wp_publish_ns,wp_received_ns,wp_received_latency_ms,px4_response_ns,wp_to_px4_ms,total_end_to_end_ms
0,1761112262375145280,1761112262389753943,14.61,,,
0,1761112262375145280,1761112262389753943,14.61,1761112262405106446,29.96,N/A
0,1761112262616994166,1761112262626493409,9.50,,,
0,1761112262616994166,1761112262626493409,9.50,1761112262635572533,18.58,N/A
0,1761112262836439842,1761112262841015951,4.58,,,
0,1761112262836439842,1761112262841015951,4.58,1761112262855902971,19.46,N/A
0,1761112263100729091,1761112263110456836,9.73,,,
0,1761112263100729091,1761112263110456836,9.73,1761112263152578133,51.85,N/A
0,1761112263372052074,1761112263383557522,11.51,,,
0,1761112263372052074,1761112263383557522,11.51,1761112263402587944,30.54,N/A
0,1761112263624188922,1761112263626927882,2.74,,,
0,1761112263624188922,1761112263626927882,2.74,1761112263646901914,22.71,N/A
0,1761112263809099785,1761112263822079160,12.98,,,
0,1761112263809099785,1761112263822079160,12.98,1761112263832656494,23.56,N/A
0,1761112263978176571,1761112263982320123,4.14,,,
0,1761112263978176571,1761112263982320123,4.14,1761112264021906913,43.73,N/A
0,1761112264168729283,1761112264175428371,6.70,,,
0,1761112264168729283,1761112264175428371,6.70,1761112264190188933,21.46,N/A
0,1761112264408536752,1761112264416301240,7.76,,,
0,1761112264408536752,1761112264416301240,7.76,1761112264423216499,14.68,N/A
0,1761112264622787925,1761112264623921650,1.13,,,
0,1761112264622787925,1761112264623921650,1.13,1761112264664203946,41.42,N/A
0,1761112264815882235,1761112264817401311,1.52,,,
0,1761112264815882235,1761112264817401311,1.52,1761112264834155244,18.27,N/A
0,1761112265009247142,1761112265014281474,5.03,,,
0,1761112265009247142,1761112265014281474,5.03,1761112265039593946,30.35,N/A
0,1761112265224658381,1761112265228923950,4.27,,,
0,1761112265224658381,1761112265228923950,4.27,1761112265267234168,42.58,N/A
0,1761112265459830896,1761112265462352481,2.52,,,
0,1761112265459830896,1761112265462352481,2.52,1761112265491307418,31.48,N/A
0,1761112265687168229,1761112265690966739,3.80,,,
0,1761112265687168229,1761112265690966739,3.80,1761112265699428221,12.26,N/A
0,1761112265918639327,1761112265922817004,4.18,,,
0,1761112265918639327,1761112265922817004,4.18,1761112265981919803,63.28,N/A
0,1761112266248834208,1761112266292140496,43.31,,,
0,1761112266248834208,1761112266292140496,43.31,1761112266310952664,62.12,N/A
0,1761112266701806492,1761112266704048702,2.24,,,
0,1761112266701806492,1761112266704048702,2.24,1761112266745378034,43.57,N/A
0,1761112266921246608,1761112266931978502,10.73,,,
0,1761112266921246608,1761112266931978502,10.73,1761112266978115958,56.87,N/A
0,1761112267167584106,1761112267169590013,2.01,,,
0,1761112267167584106,1761112267169590013,2.01,1761112267278471185,110.89,N/A
0,1761112267393339110,1761112267400562802,7.22,,,
0,1761112267393339110,1761112267400562802,7.22,1761112267409717158,16.38,N/A
0,1761112267581920647,1761112267583973660,2.05,,,
0,1761112267581920647,1761112267583973660,2.05,1761112267596021468,14.10,N/A
0,1761112267831107543,1761112267834574692,3.47,,,
0,1761112267831107543,1761112267834574692,3.47,1761112267854529188,23.42,N/A
