Latency_ms,Sent_Timestamp,Received_Timestamp,Latitude,Longitude
4212.54,1760498848.7517753,1760498852.9643157,37.77492702799645,-122.41986681861387
4211.72,1760498849.0736604,1760498853.285377,37.77492702799645,-122.41986681861387
4212.50,1760498849.3925726,1760498853.6050694,37.77492702799645,-122.41986681861387
4212.78,1760498849.7086284,1760498853.9214098,37.77492702799645,-122.41986681861387
4211.95,1760498850.0365603,1760498854.248508,37.77492702799645,-122.41986681861387
4211.53,1760498850.3567848,1760498854.568314,37.77492702799645,-122.41986681861387
4211.58,1760498850.6768394,1760498854.8884177,37.77492702799645,-122.41986681861387
4211.50,1760498851.0060103,1760498855.2175117,37.77492702799645,-122.41986681861387
4222.60,1760498851.3311183,1760498855.5537145,37.77492702799645,-122.41986681861387
4212.73,1760498851.6532238,1760498855.8659494,37.77492702799645,-122.41986681861387
4213.67,1760498851.9809241,1760498856.1945958,37.77492702799645,-122.41986681861387
4221.96,1760498852.2979505,1760498856.5199115,37.77492702799645,-122.41986681861387
4212.19,1760498852.6207721,1760498856.8329604,37.77492702799645,-122.41986681861387
4214.05,1760498852.9437716,1760498857.1578195,37.77492702799645,-122.41986681861387
4211.73,1760498853.263761,1760498857.4754868,37.77492702799645,-122.41986681861387
4211.71,1760498853.585468,1760498857.797181,37.77492702799645,-122.41986681861387
4211.61,1760498853.901988,1760498858.1136005,37.77492702799645,-122.41986681861387
4212.05,1760498854.223514,1760498858.435569,37.77492702799645,-122.41986681861387
4213.97,1760498854.5460014,1760498858.7599711,37.77492702799645,-122.41986681861387
4211.70,1760498854.873367,1760498859.0850685,37.77492702799645,-122.41986681861387
4211.41,1760498855.1993558,1760498859.410766,37.77492702799645,-122.41986681861387
4218.17,1760498855.522027,1760498859.7401934,37.77492702799645,-122.41986681861387
4211.77,1760498855.8434482,1760498860.0552154,37.77492702799645,-122.41986681861387
4212.26,1760498856.1636858,1760498860.375948,37.77492702799645,-122.41986681861387
4211.94,1760498856.4851117,1760498860.697049,37.77492702799645,-122.41986681861387
4212.30,1760498856.809458,1760498861.0217564,37.77492702799645,-122.41986681861387
4211.93,1760498857.1303825,1760498861.342313,37.77492702799645,-122.41986681861387
4212.06,1760498857.4481692,1760498861.6602333,37.77492702799645,-122.41986681861387
4211.96,1760498857.764951,1760498861.9769063,37.77492702799645,-122.41986681861387
4211.75,1760498858.091917,1760498862.3036628,37.77492702799645,-122.41986681861387
4211.84,1760498858.4165196,1760498862.6283572,37.77492702799645,-122.41986681861387
4212.98,1760498858.7362835,1760498862.9492679,37.77492702799645,-122.41986681861387
4211.89,1760498859.0627897,1760498863.274677,37.77492702799645,-122.41986681861387
4211.66,1760498859.3836353,1760498863.5952916,37.77492702799645,-122.41986681861387
4211.93,1760498859.7024105,1760498863.914345,37.77492702799645,-122.41986681861387
4212.81,1760498860.0285668,1760498864.2413795,37.77492702799645,-122.41986681861387
4211.91,1760498860.3477993,1760498864.5597131,37.77492702799645,-122.41986681861387
4215.15,1760499057.444031,1760499061.6591783,37.77492702799645,-122.41986681861387
4217.77,1760499057.7682214,1760499061.9859898,37.77492702799645,-122.41986681861387
4214.59,1760499058.137008,1760499062.3516006,37.77492702799645,-122.41986681861387
4214.12,1760499058.4539418,1760499062.6680572,37.77492702799645,-122.41986681861387
4214.82,1760499058.7717004,1760499062.9865253,37.77492702799645,-122.41986681861387
4214.49,1760499059.0908377,1760499063.3053305,37.77492702799645,-122.41986681861387
4214.81,1760499059.410937,1760499063.6257517,37.77492702799645,-122.41986681861387
4214.54,1760499059.7291286,1760499063.9436672,37.77492702799645,-122.41986681861387
4214.36,1760499060.0517848,1760499064.2661455,37.77492702877049,-122.41921160384355
4214.24,1760499060.3660712,1760499064.5803072,37.77492702877049,-122.41921160384355
4214.46,1760499060.685938,1760499064.900402,37.77492702877049,-122.41921160384355
4214.55,1760499061.0068724,1760499065.2214205,37.77492702877049,-122.41921160384355
4214.80,1760499061.325078,1760499065.5398753,37.77492702877049,-122.41921160384355
4216.08,1760499061.6351473,1760499065.8512247,37.77492702799645,-122.41986681861387
4214.50,1760499061.9579105,1760499066.1724102,37.77492702799645,-122.41986681861387
